Symbol,Signal,Score,Price,RSI,MACD_Hist,SMA20,SMA50,Entry,Target,StopLoss,RiskReward,Sector,MarketCap,PE_TTM,EPS_TTM,ROE,DebtEquity,Backtest_Return,Backtest_WinRate,MC_Bear,MC_Base,MC_Bull,HoldingDuration
INFY,SELL,-3,1079.2,51.74,2.503,1060.34,1109.89,1079.2,989.71,1123.94,2.0,Technology,4478221156352,14.309564,77.27,0.32,9.541,-9.23 %,20.0 %,900.12,1039.67,1200.48,Exit / Avoid new positions
ICICIBANK,HOLD,-1,1445.7,59.5,-1.4757,1417.18,1346.29,1445.7,1366.98,1485.06,2.0,Financial Services,10263525851136,18.500132,77.34,0.16073999,N/A,-7.95 %,33.3 %,1321.64,1457.07,1606.03,Monitor weekly; re-evaluate on next earnings or macro event
COFORGE,HOLD,0,1528.4,51.72,-4.4748,1486.61,1456.4,1528.4,1374.89,1605.16,2.0,Technology,746376724480,38.431732,43.87,N/A,7.518,0.67 %,50.0 %,1262.58,1537.48,1871.42,Monitor weekly; re-evaluate on next earnings or macro event
HDFCBANK,STRONG SELL,-6,739.55,20.81,-9.8837,794.77,778.63,739.55,693.05,762.8,2.0,Financial Services,11328853901312,16.407854,44.82,0.13838,N/A,9.12 %,66.7 %,661.21,733.74,814.03,Short-to-Medium Term (2–8 weeks)
KALYANKJIL,BUY,2,564.6,86.86,6.4667,487.18,411.94,564.6,661.77,516.01,2.0,Consumer Cyclical,628267483136,46.652607,13.04,0.24305001,96.966,-56.26 %,14.3 %,437.32,560.16,717.11,Medium-to-Long Term (1–6 months)
ETERNAL,HOLD,-1,295.85,55.17,-0.9432,285.37,264.97,295.85,264.26,311.65,2.0,Consumer Cyclical,2838483173376,656.06384,0.47,N/A,14.826,-11.45 %,25.0 %,243.96,298.9,366.04,Monitor weekly; re-evaluate on next earnings or macro event
VBL,STRONG SELL,-7,464.5,35.03,-0.4657,478.34,506.24,464.5,434.98,479.26,2.0,Consumer Defensive,1454459846656,45.59915,9.43,N/A,12.705,-32.38 %,0.0 %,380.13,451.94,537.12,Short-to-Medium Term (2–8 weeks)
HINDUNILVR,BUY,2,2174.6,43.37,3.9576,2153.38,2160.16,2174.6,2279.93,2121.93,2.0,Consumer Defensive,4752518152192,44.720318,45.23,0.21603,3.016,-24.34 %,0.0 %,1925.98,2139.42,2375.95,Short Term (1–4 weeks)
TCS,SELL,-2,2295.6,72.83,20.0775,2151.0,2188.12,2295.6,2115.72,2385.54,2.0,Technology,8676173676544,17.40961,137.74,0.47743,10.211,-13.71 %,20.0 %,1941.09,2199.92,2492.58,Exit / Avoid new positions
LODHA,HOLD,-1,1198.7,63.6,-5.8164,1132.5,997.09,1198.7,1046.18,1274.96,2.0,Real Estate,1300003684352,31.55674,41.24,N/A,42.238,-18.07 %,20.0 %,959.4,1182.49,1456.79,Monitor weekly; re-evaluate on next earnings or macro event
BEL,STRONG SELL,-7,407.15,36.3,-0.3789,411.27,413.1,407.15,388.55,416.45,2.0,Industrials,2843504017408,46.36472,8.39,N/A,0.273,25.51 %,60.0 %,353.91,411.25,477.71,Short-to-Medium Term (2–8 weeks)
BHARTIARTL,STRONG SELL,-5,1905.3,46.31,-3.4791,1912.94,1874.82,1905.3,1801.08,1957.41,2.0,Communication Services,11864680431616,42.842983,44.39,0.19358999,99.718,13.15 %,66.7 %,1730.45,1928.51,2148.73,Short-to-Medium Term (2–8 weeks)
RELIANCE,STRONG SELL,-7,1280.0,41.94,-1.7798,1297.87,1309.44,1280.0,1207.58,1316.21,2.0,Energy,17155114401792,22.978067,55.17,N/A,36.653,-1.19 %,50.0 %,1132.7,1262.87,1407.67,Short-to-Medium Term (2–8 weeks)
SUZLON,SELL,-4,53.15,41.15,-0.0757,54.07,55.15,53.15,49.85,54.8,2.0,Industrials,659984875520,20.78788,2.31,0.40636003,5.873,-10.2 %,40.0 %,42.54,52.2,64.04,Exit / Avoid new positions
CUPID,BUY,2,221.46,50.18,-1.8281,208.37,172.55,221.46,262.8,200.79,2.0,Consumer Defensive,311732699136,289.7875,0.8,0.27297002,12.506,406.38 %,50.0 %,196.51,255.41,331.78,Medium-to-Long Term (1–6 months)
RRKABEL,STRONG BUY,5,2525.3,70.04,11.2564,2341.84,2236.78,2525.3,2855.6,2360.15,2.0,Industrials,291461562368,47.90667,53.79,N/A,13.092,-13.86 %,50.0 %,2089.06,2562.83,3142.62,Short-to-Medium Term (2–8 weeks)
SBIN,SELL,-4,1020.6,44.63,-3.2626,1032.61,1010.02,1020.6,959.64,1051.08,2.0,Financial Services,9352462204928,11.116963,91.14,0.15477,N/A,30.1 %,50.0 %,912.03,1026.9,1155.93,Exit / Avoid new positions
SWIGGY,STRONG SELL,-6,257.98,45.71,-1.3576,261.74,255.89,257.98,222.7,275.62,2.0,Consumer Cyclical,699647524864,N/A,-16.87,-0.29116,13.929,17.71 %,100.0 %,194.17,246.08,311.69,Short-to-Medium Term (2–8 weeks)
DMART,SELL,-3,4027.7,44.38,6.197,4050.03,4121.72,4027.7,3778.79,4152.15,2.0,Consumer Defensive,2508929368064,81.63413,47.12,N/A,9.913,-18.82 %,50.0 %,3419.86,3953.77,4569.56,Exit / Avoid new positions
SUNPHARMA,SELL,-2,1973.7,64.85,-0.1615,1925.57,1867.37,1973.7,1873.5,2023.8,2.0,Healthcare,4742765346816,41.38819,47.76,0.1472,5.517,-18.64 %,16.7 %,1788.15,1984.06,2200.92,Exit / Avoid new positions
BLUESTONE,HOLD,-1,820.75,81.82,21.0437,630.82,556.91,820.75,655.27,903.49,2.0,Consumer Cyclical,115409928192,200.33069,3.78,N/A,110.033,-29.14 %,0.0 %,655.86,858.57,1123.25,Monitor weekly; re-evaluate on next earnings or macro event
HSCL,BUY,4,790.45,83.75,9.8799,706.19,668.33,790.45,880.93,745.21,2.0,Basic Materials,378243874816,47.17747,15.89,N/A,16.169,-31.28 %,16.7 %,666.29,816.73,1000.68,Medium-to-Long Term (1–6 months)
TTKPRESTIG,HOLD,0,655.35,56.78,-4.1303,646.15,584.13,655.35,591.57,687.24,2.0,Consumer Cyclical,96184639488,59.867863,11.73,0.081470005,8.801,-7.88 %,25.0 %,541.44,639.66,755.42,Monitor weekly; re-evaluate on next earnings or macro event
BSE,SELL,-2,3536.8,37.08,-16.8642,3726.56,3921.92,3536.8,3262.9,3673.75,2.0,Financial Services,1410381512704,57.17262,60.48,0.36003,0.0,109.11 %,80.0 %,2926.9,3835.31,5022.65,Exit / Avoid new positions
AFFLE,SELL,-4,1492.8,52.97,-3.6112,1483.73,1472.53,1492.8,1343.67,1567.37,2.0,Communication Services,229497372672,50.37975,32.39,0.13786,0.405,-6.63 %,16.7 %,1245.3,1485.12,1770.43,Exit / Avoid new positions
TECHM,HOLD,1,1575.0,75.35,9.6329,1486.83,1470.09,1575.0,1440.18,1642.41,2.0,Technology,1448540504064,27.985622,58.43,N/A,7.269,-17.33 %,20.0 %,1362.73,1571.66,1812.05,Monitor weekly; re-evaluate on next earnings or macro event
NESTLEIND,BUY,2,1446.1,43.47,-0.428,1446.89,1421.85,1446.1,1544.41,1396.94,2.0,Consumer Defensive,2876659466240,75.305405,19.81,N/A,8.621,-19.58 %,28.6 %,1313.1,1455.66,1613.32,Medium-to-Long Term (1–6 months)
TVSMOTOR,STRONG BUY,5,3876.4,61.17,24.2339,3677.54,3513.1,3876.4,4178.92,3725.14,2.0,Consumer Cyclical,1897815998464,55.38835,72.1,N/A,306.09,-1.07 %,28.6 %,3429.34,3965.47,4583.94,Short-to-Medium Term (2–8 weeks)
HFCL,HOLD,-1,192.54,29.5,-4.3618,213.5,194.65,192.54,161.64,207.99,2.0,Technology,288286375936,49.187992,3.83,N/A,38.321,-19.5 %,25.0 %,152.51,195.78,251.18,Monitor weekly; re-evaluate on next earnings or macro event
LAURUSLABS,BUY,4,1713.4,81.84,7.397,1548.79,1459.19,1713.4,1849.75,1645.23,2.0,Healthcare,950245064704,86.98814,20.22,N/A,46.369,40.57 %,50.0 %,1549.78,1847.89,2202.48,Medium-to-Long Term (1–6 months)
SHRIRAMFIN,BUY,2,1038.2,44.82,-4.5784,1040.99,991.27,1038.2,1142.3,986.15,2.0,Financial Services,2449184129024,18.39696,56.58,0.18495001,276.215,24.46 %,40.0 %,886.33,1068.68,1288.01,Medium-to-Long Term (1–6 months)
AXISBANK,STRONG SELL,-5,1227.5,24.31,-11.735,1302.31,1309.11,1227.5,1137.95,1272.28,2.0,Financial Services,3806410309632,13.7673,88.87,0.13352999,N/A,8.37 %,50.0 %,1085.86,1226.79,1385.64,Short-to-Medium Term (2–8 weeks)
M&M,HOLD,0,3238.6,53.32,7.6647,3151.59,3103.79,3238.6,3025.42,3345.19,2.0,Consumer Cyclical,3927933452288,21.49136,152.21,0.18754,125.278,-17.51 %,16.7 %,2788.33,3244.03,3772.95,Monitor weekly; re-evaluate on next earnings or macro event
GVT&D,SELL,-3,4202.3,41.46,-36.226,4532.02,4795.93,4202.3,3643.64,4481.63,2.0,Industrials,1055935889408,85.33002,48.33,0.55261004,0.892,50.88 %,50.0 %,3504.93,4429.3,5594.58,Exit / Avoid new positions
HCLTECH,SELL,-2,1295.9,72.3,13.8546,1177.12,1161.04,1295.9,1185.8,1350.95,2.0,Technology,3567823880192,20.513378,64.28,0.24067,7.058,-10.68 %,33.3 %,1101.8,1272.74,1469.73,Exit / Avoid new positions
MARUTI,SELL,-4,13730.0,33.89,-52.279,13866.75,13504.92,13730.0,12826.37,14181.82,2.0,Consumer Cyclical,4339384188928,29.566,466.82,0.14434,0.096,-13.45 %,16.7 %,12171.37,13743.82,15515.26,Exit / Avoid new positions
LT,STRONG SELL,-7,3806.0,30.96,-8.9749,3905.84,3992.7,3806.0,3607.13,3905.43,2.0,Industrials,5271793958912,32.79699,116.84,0.16951999,97.64,-25.87 %,37.5 %,3329.25,3793.76,4321.84,Short-to-Medium Term (2–8 weeks)
RADICO,BUY,2,4149.5,55.67,-14.6549,4063.67,3779.72,4149.5,4404.92,4021.79,2.0,Consumer Defensive,574744297472,94.84193,45.23,N/A,20.939,57.26 %,100.0 %,3645.97,4354.5,5198.69,Medium-to-Long Term (1–6 months)
CHOLAFIN,HOLD,-1,1785.2,41.11,-13.9041,1786.06,1670.75,1785.2,1632.95,1861.33,2.0,Financial Services,1497084854272,28.379473,61.77,0.19334999,695.283,-20.32 %,25.0 %,1509.92,1799.99,2144.95,Monitor weekly; re-evaluate on next earnings or macro event
CGPOWER,SELL,-2,877.3,37.83,-6.2409,914.81,915.75,877.3,800.59,915.65,2.0,Industrials,1329469194240,106.8481,7.9,N/A,1.446,1.02 %,50.0 %,729.98,881.54,1064.12,Exit / Avoid new positions
TITAN,STRONG BUY,5,4740.1,69.01,3.8797,4586.83,4352.52,4740.1,4940.74,4639.78,2.0,Consumer Cyclical,4301903626240,84.54847,57.36,0.37127998,195.001,-14.37 %,33.3 %,4278.76,4818.81,5425.59,Short-to-Medium Term (2–8 weeks)
POWERINDIA,SELL,-4,31550.0,47.69,-81.2317,32530.0,34309.3,31550.0,28320.71,33164.64,2.0,Industrials,1387537629184,140.9554,220.85,0.21040002,1.663,24.63 %,40.0 %,25676.02,33218.67,42952.65,Exit / Avoid new positions
PINELABS,STRONG SELL,-8,148.94,51.27,-0.4128,151.26,149.88,148.94,132.17,157.32,2.0,Technology,176471048192,151.42575,1.01,0.023929998,7.474,-29.99 %,0.0 %,106.16,135.2,172.08,Short-to-Medium Term (2–8 weeks)
HEXT,SELL,-3,562.95,57.43,-1.2827,549.99,525.48,562.95,495.24,596.81,2.0,Technology,361499525120,26.280462,22.57,0.22272,10.521,-14.85 %,0.0 %,443.75,545.41,670.05,Exit / Avoid new positions
COALINDIA,SELL,-2,427.5,45.05,0.6908,430.76,445.92,427.5,410.49,436.0,2.0,Energy,2527643041792,8.116961,50.53,N/A,11.629,7.61 %,66.7 %,373.04,421.4,475.9,Exit / Avoid new positions
PERSISTENT,HOLD,0,5268.2,64.58,29.8925,4939.57,4972.41,5268.2,4777.82,5513.39,2.0,Technology,848084533248,45.59382,119.06,0.26349002,6.092,-21.32 %,42.9 %,4360.34,5270.8,6368.7,Monitor weekly; re-evaluate on next earnings or macro event
ASIANTILES,STRONG SELL,-5,53.42,63.29,0.9972,49.28,55.44,53.42,45.8,57.23,2.0,Industrials,17082906624,82.314285,0.7,0.01283,28.468,6.69 %,57.1 %,40.58,51.72,65.86,Short-to-Medium Term (2–8 weeks)
GODFRYPHLP,HOLD,-1,2210.5,58.15,10.4114,2122.8,2207.91,2210.5,2045.5,2293.0,2.0,Consumer Defensive,316845752320,23.14608,87.76,N/A,3.757,24.15 %,40.0 %,1647.82,2250.15,3070.53,Monitor weekly; re-evaluate on next earnings or macro event
LIQUIDBEES,STRONG SELL,-6,999.99,40.0,-0.001,1000.0,1000.0,999.99,992.31,1003.83,2.0,Unknown,N/A,N/A,N/A,N/A,N/A,-0.02 %,4.3 %,999.93,999.99,1000.05,Short-to-Medium Term (2–8 weeks)
KOTAKBANK,SELL,-2,384.65,52.21,0.356,384.36,388.88,384.65,358.01,397.97,2.0,Financial Services,3832373051392,18.896519,20.39,N/A,N/A,1.27 %,50.0 %,342.65,384.99,432.45,Exit / Avoid new positions
EXIDEIND,HOLD,0,427.0,58.6,-0.1761,423.57,398.6,427.0,390.55,445.23,2.0,Consumer Cyclical,359889993728,42.21336,10.03,0.06172,11.308,-15.4 %,33.3 %,358.2,418.58,488.97,Monitor weekly; re-evaluate on next earnings or macro event
OFSS,HOLD,1,11089.0,49.85,-134.9685,11249.17,10440.09,11089.0,9633.13,11816.93,2.0,Technology,986913832960,28.954628,391.44,N/A,0.415,-24.5 %,25.0 %,9183.41,11019.44,13217.22,Monitor weekly; re-evaluate on next earnings or macro event
KPITTECH,SELL,-3,585.2,59.3,8.5867,565.87,680.48,585.2,534.65,610.48,2.0,Technology,164003299328,25.867325,23.29,0.1973,23.624,-48.97 %,0.0 %,442.39,543.64,667.76,Exit / Avoid new positions
BAJFINANCE,HOLD,0,1048.3,51.27,-2.8852,1030.73,968.32,1048.3,971.08,1086.91,2.0,Financial Services,6518821879808,34.362503,30.51,0.17907,314.833,-4.19 %,40.0 %,926.59,1071.49,1238.65,Monitor weekly; re-evaluate on next earnings or macro event
CUB,BUY,2,221.45,43.16,-1.3362,222.1,204.77,221.45,242.63,210.86,2.0,Financial Services,235946082304,17.798206,13.38,0.13241,N/A,19.4 %,50.0 %,191.09,227.87,271.63,Medium-to-Long Term (1–6 months)
ULTRACEMCO,BUY,3,11881.0,55.95,17.0394,11688.4,11464.06,11881.0,12618.37,11512.32,2.0,Basic Materials,3517092200448,41.24181,289.9,N/A,29.432,-41.61 %,0.0 %,10505.27,11841.05,13343.15,Medium-to-Long Term (1–6 months)
WIPRO,STRONG SELL,-5,178.53,63.16,0.929,174.95,184.04,178.53,168.48,183.56,2.0,Technology,1791681232896,14.38602,12.59,0.16128999,27.398,0.16 %,33.3 %,151.08,173.74,199.74,Short-to-Medium Term (2–8 weeks)
NAUKRI,HOLD,0,1194.3,58.94,-3.6229,1143.96,1048.37,1194.3,1093.11,1244.89,2.0,Communication Services,800700628992,55.358265,22.33,0.045679998,0.64,-20.59 %,16.7 %,993.88,1176.26,1391.57,Monitor weekly; re-evaluate on next earnings or macro event
ADANIENSOL,BUY,3,1703.3,59.17,-2.2305,1652.51,1553.87,1703.3,1875.74,1617.08,2.0,Utilities,1981515825152,67.71346,24.36,N/A,194.5,-1.84 %,60.0 %,1364.23,1741.44,2221.75,Medium-to-Long Term (1–6 months)
SILVERBEES,HOLD,-1,213.01,44.82,1.3178,211.72,226.13,213.01,200.05,219.49,2.0,Unknown,N/A,N/A,N/A,N/A,N/A,120.11 %,50.0 %,175.28,224.37,287.04,Monitor weekly; re-evaluate on next earnings or macro event
RATNAVEER,BUY,4,199.61,75.09,1.0396,179.2,176.34,199.61,223.85,187.49,2.0,Basic Materials,13297505280,10.063243,18.5,N/A,50.053,-28.93 %,25.0 %,153.74,198.36,255.77,Medium-to-Long Term (1–6 months)
CGCL,SELL,-2,244.27,56.83,-2.6634,244.76,220.15,244.27,217.15,257.83,2.0,Financial Services,219582775296,19.42298,11.75,N/A,334.728,-8.04 %,33.3 %,197.6,245.01,303.64,Exit / Avoid new positions
CARTRADE,HOLD,-1,2978.5,59.05,-21.334,2773.82,2410.26,2978.5,2544.88,3195.31,2.0,Consumer Cyclical,143177023488,66.30931,44.68,0.09849,5.363,165.87 %,66.7 %,2383.33,3178.11,4235.24,Monitor weekly; re-evaluate on next earnings or macro event
IDFCFIRSTB,BUY,2,84.88,63.14,0.0504,80.34,76.52,84.88,91.48,81.58,2.0,Financial Services,738899460096,33.10811,2.59,N/A,N/A,19.08 %,100.0 %,72.38,85.13,100.1,Medium-to-Long Term (1–6 months)
NTPC,SELL,-2,350.8,46.14,1.1342,349.91,361.45,350.8,332.89,359.75,2.0,Utilities,3333229117440,10.515449,32.69,N/A,118.127,-0.76 %,40.0 %,309.36,347.21,389.6,Exit / Avoid new positions
ITC,SELL,-3,285.85,45.18,0.7126,283.28,287.55,285.85,272.71,292.42,2.0,Consumer Defensive,3566513160192,17.230629,16.52,0.2934,3.293,-19.18 %,0.0 %,250.6,276.36,304.69,Exit / Avoid new positions
PAYTM,HOLD,0,1289.4,56.24,-10.846,1283.09,1172.19,1289.4,1135.35,1366.43,2.0,Technology,837951225856,130.00993,10.06,N/A,1.073,64.27 %,60.0 %,1078.45,1357.36,1707.53,Monitor weekly; re-evaluate on next earnings or macro event
NETWEB,SELL,-2,4362.2,56.85,-7.2376,4325.89,4435.13,4362.2,3921.38,4582.61,2.0,Technology,250294190080,121.39465,36.21,0.32834998,39.019,74.63 %,57.1 %,3342.3,4491.37,6031.53,Exit / Avoid new positions
NEWGEN,STRONG SELL,-6,506.3,54.94,-3.9586,513.8,486.59,506.3,393.62,562.64,2.0,Technology,74172260352,23.690262,22.18,N/A,2.214,-47.27 %,33.3 %,357.21,479.89,644.29,Short-to-Medium Term (2–8 weeks)
BAJAJ-AUTO,BUY,4,11183.5,75.98,117.7653,10349.38,10274.75,11183.5,11924.17,10813.17,2.0,Consumer Cyclical,3123047038976,27.048752,420.5,N/A,56.352,-19.23 %,33.3 %,9788.26,11245.57,12915.89,Medium-to-Long Term (1–6 months)
POLYCAB,SELL,-3,9010.0,40.08,-37.7718,9266.67,9462.31,9010.0,8258.38,9385.81,2.0,Industrials,1374017683456,47.980118,190.11,0.25549,1.738,-5.56 %,33.3 %,7628.13,9135.29,10935.89,Exit / Avoid new positions
CONCOR,HOLD,1,510.5,63.89,1.8859,480.76,474.28,510.5,463.13,534.18,2.0,Industrials,397869219840,31.873096,16.39,N/A,7.39,-7.26 %,33.3 %,409.95,486.66,577.5,Monitor weekly; re-evaluate on next earnings or macro event
DLF,SELL,-2,650.9,49.94,-4.4059,658.3,621.37,650.9,585.32,683.69,2.0,Real Estate,1641255272448,37.187325,17.83,0.10031,0.673,-17.76 %,20.0 %,538.87,636.58,751.72,Exit / Avoid new positions
DATAPATTNS,STRONG BUY,7,4578.9,55.99,33.3882,4390.48,4337.31,4578.9,5186.07,4275.31,2.0,Industrials,245304967168,90.26988,48.54,0.1673,0.304,10.07 %,33.3 %,3540.91,4630.42,6051.56,Short-to-Medium Term (2–8 weeks)
CANBK,SELL,-2,127.26,54.09,0.2478,126.26,129.46,127.26,116.55,132.62,2.0,Financial Services,1126937657344,5.6730595,21.9,N/A,N/A,22.65 %,66.7 %,108.45,127.39,149.59,Exit / Avoid new positions
LTM,SELL,-2,4190.8,69.64,24.7235,3926.48,3953.74,4190.8,3785.77,4393.32,2.0,Technology,1277510680576,24.42442,176.43,0.21966,9.874,-13.9 %,40.0 %,3480.99,4091.13,4806.5,Exit / Avoid new positions
IDEA,SELL,-2,13.06,30.35,-0.115,13.85,14.14,13.06,12.01,13.59,1.98,Communication Services,1403042267136,4.034268,3.21,N/A,N/A,3.29 %,50.0 %,9.7,12.8,16.87,Exit / Avoid new positions
SAIL,HOLD,0,162.62,42.82,0.3827,165.45,179.58,162.62,149.81,169.03,2.0,Basic Materials,685047611392,16.039652,10.34,N/A,52.899,-12.97 %,33.3 %,134.83,162.69,196.23,Monitor weekly; re-evaluate on next earnings or macro event
ADANIPOWER,SELL,-4,213.96,45.44,-0.5064,218.75,225.06,213.96,194.25,223.81,2.0,Utilities,4016037691392,28.218157,7.38,N/A,82.332,99.98 %,60.0 %,173.89,217.8,272.68,Exit / Avoid new positions
HINDALCO,HOLD,0,945.25,36.4,1.9422,957.22,1017.12,945.25,890.71,972.52,2.0,Basic Materials,2078655643648,15.552235,60.21,0.10288,72.598,23.71 %,25.0 %,825.92,961.21,1118.28,Monitor weekly; re-evaluate on next earnings or macro event
EICHERMOT,STRONG BUY,5,7769.5,61.04,30.9789,7446.05,7363.3,7769.5,8222.92,7542.79,2.0,Consumer Cyclical,2150962692096,39.092045,200.45,0.23774,2.048,-11.45 %,28.6 %,6930.29,7951.49,9120.39,Short-to-Medium Term (2–8 weeks)
TATASTEEL,SELL,-2,184.25,37.14,0.2293,187.1,196.54,184.25,174.17,189.29,2.0,Basic Materials,2277733564416,21.137732,8.64,0.11156999,89.017,-9.35 %,33.3 %,159.93,184.86,213.62,Exit / Avoid new positions
ASIANPAINT,HOLD,-1,2710.2,46.38,-1.8103,2687.92,2680.09,2710.2,2555.34,2787.63,2.0,Basic Materials,2623042486272,60.817955,44.99,0.20889999,17.847,-0.33 %,50.0 %,2385.78,2687.0,3025.46,Monitor weekly; re-evaluate on next earnings or macro event
KFINTECH,SELL,-2,949.25,63.6,1.8289,884.32,866.58,949.25,849.2,999.27,2.0,Technology,168309080064,49.328773,19.74,N/A,3.314,-34.84 %,14.3 %,741.87,952.41,1222.02,Exit / Avoid new positions
GROWW,SELL,-4,199.38,55.03,-0.811,203.39,197.54,199.38,174.81,211.66,2.0,Financial Services,1209214959616,49.44304,3.95,N/A,3.028,-5.78 %,0.0 %,160.8,212.4,280.39,Exit / Avoid new positions
TATAPOWER,SELL,-4,377.35,50.17,0.9418,377.96,394.73,377.35,358.33,386.86,2.0,Utilities,1186589310976,30.740894,12.08,N/A,168.051,5.89 %,75.0 %,326.05,372.34,425.08,Exit / Avoid new positions
MPHASIS,SELL,-3,2332.7,46.95,-5.4872,2305.29,2290.11,2332.7,2073.23,2462.43,2.0,Technology,460536971264,24.118118,100.07,0.17743999,24.675,-5.86 %,33.3 %,1939.0,2289.88,2703.27,Exit / Avoid new positions
ADANIENT,BUY,3,3036.6,42.54,-26.7053,3129.33,3013.8,3036.6,3253.2,2928.3,2.0,Energy,4272193273856,40.85318,73.49,0.13664,119.56,-25.37 %,0.0 %,2458.86,3015.88,3697.41,Medium-to-Long Term (1–6 months)
HEROMOTOCO,HOLD,0,5113.8,56.62,23.8279,4942.06,4936.72,5113.8,4790.22,5275.59,2.0,Consumer Cyclical,1031339048960,17.966745,286.88,0.28027,3.57,39.16 %,50.0 %,4423.27,5075.73,5822.67,Monitor weekly; re-evaluate on next earnings or macro event
TFCILTD,BUY,4,94.8,75.17,1.0163,81.12,77.37,94.8,108.78,87.81,2.0,Financial Services,44927311872,29.141142,3.33,N/A,81.939,108.37 %,50.0 %,77.1,99.41,128.12,Medium-to-Long Term (1–6 months)
APOLLO,SELL,-3,392.95,44.33,-2.4,406.98,405.45,392.95,354.16,412.34,2.0,Industrials,140743311360,120.62102,3.14,0.1121,41.527,74.8 %,75.0 %,309.01,418.09,565.29,Exit / Avoid new positions
ONGC,SELL,-3,238.56,41.48,0.7484,244.85,254.52,238.56,225.36,245.16,2.0,Energy,3005554622464,7.257291,32.92,0.12703,42.548,-7.77 %,50.0 %,202.83,232.89,267.33,Exit / Avoid new positions
E2E,BUY,4,542.5,87.19,14.1056,420.45,406.29,542.5,613.33,507.08,2.0,Technology,105893003264,186.06499,2.77,N/A,9.441,23.9 %,50.0 %,425.5,576.07,779.4,Medium-to-Long Term (1–6 months)
ADANIPORTS,SELL,-2,1770.4,35.46,-8.9064,1824.31,1813.29,1770.4,1664.44,1823.38,2.0,Industrials,4088835866624,30.466951,58.25,0.15592,64.051,-1.6 %,66.7 %,1515.54,1776.7,2082.14,Exit / Avoid new positions
CUMMINSIND,STRONG BUY,6,5629.5,61.25,9.1189,5561.68,5619.14,5629.5,5991.33,5448.59,2.0,Industrials,1512264564736,64.174805,85.01,0.29455,0.431,40.48 %,50.0 %,4888.9,5740.48,6738.01,Short-to-Medium Term (2–8 weeks)
HAL,BUY,2,4619.0,70.14,14.326,4475.54,4389.36,4619.0,4883.78,4486.61,2.0,Industrials,3076431806464,33.759727,136.26,0.23979001,0.027,-13.05 %,40.0 %,3878.49,4573.79,5391.78,Medium-to-Long Term (1–6 months)
MCX,SELL,-4,2755.1,59.13,-1.1507,2799.53,2900.54,2755.1,2502.8,2881.25,2.0,Financial Services,690598510592,51.8319,52.35,0.37883,0.113,108.86 %,75.0 %,2400.61,2942.69,3605.56,Exit / Avoid new positions
DIVISLAB,HOLD,1,7414.0,79.51,27.1648,7028.12,6834.79,7414.0,6931.42,7655.29,2.0,Healthcare,1971104120832,77.03881,96.38,0.16187,0.042,-9.83 %,25.0 %,6634.22,7571.31,8638.25,Monitor weekly; re-evaluate on next earnings or macro event
UJJIVANSFB,STRONG BUY,5,71.57,74.84,0.5478,64.28,58.66,71.57,80.84,66.93,2.0,Financial Services,136441495552,15.310044,4.58,N/A,N/A,19.05 %,50.0 %,60.38,73.28,88.91,Short-to-Medium Term (2–8 weeks)
GAIL,HOLD,-1,174.23,50.42,-0.2263,172.78,170.24,174.23,162.68,180.0,2.0,Utilities,1151625068544,15.190806,11.53,0.08688,27.809,-5.57 %,25.0 %,146.86,170.52,197.93,Monitor weekly; re-evaluate on next earnings or macro event
CEMPRO,BUY,3,1369.0,35.27,-35.4632,1517.93,1265.44,1369.0,1565.2,1270.9,2.0,Industrials,230332792832,38.56198,34.77,0.28242,37.711,-19.52 %,20.0 %,1111.02,1442.35,1871.41,Medium-to-Long Term (1–6 months)
MEESHO,STRONG SELL,-5,182.1,38.47,-1.0092,188.88,183.27,182.1,163.32,191.49,2.0,Consumer Cyclical,838820823040,N/A,-2.6,N/A,1.428,2.78 %,100.0 %,134.26,182.89,248.96,Short-to-Medium Term (2–8 weeks)
ZENSARTECH,HOLD,0,515.4,59.63,0.5553,493.2,480.52,515.4,433.95,556.12,2.0,Technology,118965780480,15.563632,33.71,0.17627001,1.68,12.33 %,100.0 %,404.74,498.46,613.6,Monitor weekly; re-evaluate on next earnings or macro event
WAAREEENER,STRONG SELL,-8,2741.4,39.22,-6.7501,2824.26,2958.82,2741.4,2543.01,2840.6,2.0,Technology,775018971136,20.91036,128.85,0.31570998,21.402,25.62 %,25.0 %,2133.21,2751.66,3547.4,Short-to-Medium Term (2–8 weeks)
BHEL,STRONG BUY,6,415.95,67.87,0.6527,405.53,403.12,415.95,462.27,392.79,2.0,Industrials,1412847239168,58.04721,6.99,N/A,31.312,36.5 %,75.0 %,345.2,420.0,510.77,Short-to-Medium Term (2–8 weeks)
DIACABS,BUY,4,307.17,84.58,7.2959,237.79,215.03,307.17,359.25,281.13,2.0,Industrials,169363243008,106.77409,3.01,N/A,N/A,-14.67 %,28.6 %,245.73,320.24,417.11,Medium-to-Long Term (1–6 months)
BAJAJFINSV,SELL,-4,1913.0,54.37,-0.5326,1869.4,1798.22,1913.0,1790.39,1974.31,2.0,Financial Services,3082197925888,31.594559,61.02,0.14602,256.404,-5.85 %,42.9 %,1693.23,1925.45,2188.89,Exit / Avoid new positions
