Symbol,Signal,Score,Price,RSI,MACD_Hist,SMA20,SMA50,Entry,Target,StopLoss,RiskReward,Sector,MarketCap,PE_TTM,EPS_TTM,ROE,DebtEquity,Backtest_Return,Backtest_WinRate,MC_Bear,MC_Base,MC_Bull,HoldingDuration
ALKEM,HOLD,-1,5613.0,46.59,-8.6827,5612.93,5469.43,5613.0,5244.54,5797.23,2.0,Healthcare,675721576448,29.353867,192.53,0.17557,14.267,-4.4 %,20.0 %,4981.13,5619.56,6338.13,Monitor weekly; re-evaluate on next earnings or macro event
GUJENERGY,SELL,-3,265.55,24.82,0.5322,286.08,342.76,265.55,240.05,278.3,2.0,Utilities,251727331328,838.4375,0.32,0.12267999,118.64,-32.83 %,0.0 %,212.48,249.97,293.97,Exit / Avoid new positions
SUNTV,STRONG SELL,-8,488.7,31.6,-0.4908,500.01,507.71,488.7,458.52,503.79,2.0,Communication Services,193278803968,13.418605,36.55,0.1185,0.837,-22.87 %,0.0 %,399.99,469.93,551.9,Short-to-Medium Term (2–8 weeks)
SUVEN,HOLD,1,311.65,47.2,-5.6358,325.47,289.77,311.65,249.43,342.76,2.0,Healthcare,83115810816,N/A,-12.12,-0.78799003,2.823,55.1 %,33.3 %,239.2,324.18,439.06,Monitor weekly; re-evaluate on next earnings or macro event
DCBBANK,BUY,3,190.26,56.18,-0.1837,188.06,183.52,190.26,210.96,179.91,2.0,Financial Services,62837309440,7.986083,24.43,N/A,N/A,23.88 %,40.0 %,162.94,194.15,231.26,Medium-to-Long Term (1–6 months)
JINDALSAW,SELL,-2,250.85,43.02,-2.2658,262.78,251.38,250.85,215.51,268.52,2.0,Basic Materials,163964272640,25.136852,10.23,N/A,38.19,-44.81 %,0.0 %,193.72,246.42,313.29,Exit / Avoid new positions
JSLL,STRONG SELL,-9,565.35,48.1,-0.0523,573.66,594.6,565.35,506.4,594.83,2.0,Healthcare,70161547264,31.692871,17.81,0.59921,27.261,-66.15 %,50.0 %,279.01,530.36,1006.73,Short-to-Medium Term (2–8 weeks)
AEGISVOPAK,BUY,3,303.49,53.71,0.1691,276.72,238.42,303.49,355.78,277.35,2.0,Energy,324043210752,102.617546,2.85,0.11566,84.438,-7.55 %,0.0 %,241.21,308.56,394.5,Medium-to-Long Term (1–6 months)
JKCEMENT,HOLD,1,5730.0,69.64,27.3652,5487.62,5341.7,5730.0,5256.63,5966.69,2.0,Basic Materials,435986104320,46.016148,122.62,N/A,87.522,0.67 %,20.0 %,4935.54,5796.28,6804.72,Monitor weekly; re-evaluate on next earnings or macro event
ARIS,HOLD,-1,124.78,68.79,2.0258,112.82,116.03,124.78,108.52,132.91,2.0,Industrials,10489243648,18.748539,6.84,0.12219,9.356,-4.23 %,33.3 %,90.79,119.31,156.7,Monitor weekly; re-evaluate on next earnings or macro event
PRUDENT,BUY,2,2870.0,40.12,-17.4328,2940.58,2865.61,2870.0,3216.02,2696.99,2.0,Financial Services,127925936128,52.25812,59.12,N/A,3.866,-0.25 %,28.6 %,2230.16,2881.09,3719.91,Medium-to-Long Term (1–6 months)
MARSONS,SELL,-4,111.86,49.05,0.5133,113.61,122.98,111.86,92.45,121.56,2.0,Industrials,18841507840,40.850746,2.68,0.2724,0.321,-12.66 %,0.0 %,75.03,103.38,142.33,Exit / Avoid new positions
HONASA,BUY,3,452.75,39.37,-4.8869,463.36,428.75,452.75,497.9,430.18,2.0,Consumer Defensive,147395559424,73.993454,6.11,0.15449001,9.586,2.14 %,50.0 %,358.9,449.3,562.19,Medium-to-Long Term (1–6 months)
SEDEMAC,SELL,-3,2778.3,52.86,-14.726,2753.04,2574.19,2778.3,2479.17,2927.87,2.0,Consumer Cyclical,119490748416,114.53852,23.62,0.27527002,16.126,N/A,N/A,2648.07,3394.21,4348.2,Exit / Avoid new positions
BALKRISIND,STRONG SELL,-6,2025.2,24.85,-17.7272,2138.39,2162.3,2025.2,1831.19,2122.2,2.0,Consumer Cyclical,389186158592,31.358255,64.2,N/A,35.269,-43.63 %,0.0 %,1673.54,1957.34,2288.48,Short-to-Medium Term (2–8 weeks)
RUBICON,HOLD,0,1556.0,70.4,2.0292,1437.74,1300.37,1556.0,1344.86,1661.57,2.0,Healthcare,253515464704,100.69508,15.25,0.26968,24.131,N/A,N/A,1411.58,1782.37,2249.41,Monitor weekly; re-evaluate on next earnings or macro event
LICHSGFIN,HOLD,-1,551.75,54.94,-0.4247,547.47,546.96,551.75,517.91,568.67,2.0,Financial Services,300169363456,5.3578796,101.85,0.14409,642.522,-7.85 %,25.0 %,464.64,537.62,621.87,Monitor weekly; re-evaluate on next earnings or macro event
EDELWEISS,SELL,-4,116.91,40.53,-0.7085,120.4,117.22,116.91,104.31,123.21,2.0,Financial Services,107980333056,15.955245,7.15,0.11472999,319.986,-47.43 %,0.0 %,92.82,120.14,155.42,Exit / Avoid new positions
HCC,SELL,-4,21.73,32.14,-0.2644,23.38,23.75,21.73,19.21,22.99,2.0,Industrials,55218384896,28.106667,0.75,0.10915,47.912,-36.95 %,40.0 %,15.48,20.38,26.82,Exit / Avoid new positions
INOXGREEN,HOLD,-1,199.05,45.28,-0.3261,194.78,188.87,199.05,174.45,211.35,2.0,Utilities,78162468864,70.281586,2.77,0.05658,5.147,-12.72 %,40.0 %,151.53,199.42,262.28,Monitor weekly; re-evaluate on next earnings or macro event
VOLTAMP,SELL,-3,9183.0,30.96,-38.301,9557.12,9648.21,9183.0,8580.21,9484.4,2.0,Industrials,93988044800,30.749372,302.12,0.18073,0.03,-2.01 %,40.0 %,6982.34,8884.44,11298.68,Exit / Avoid new positions
SYNGENE,STRONG SELL,-8,413.85,41.14,-0.3686,420.47,437.73,413.85,382.05,429.75,2.0,Healthcare,164684169216,52.054707,7.86,0.06621,9.473,-35.23 %,10.0 %,336.38,395.98,465.97,Short-to-Medium Term (2–8 weeks)
KIMS,HOLD,1,800.45,46.72,-3.4771,808.18,789.59,800.45,745.07,828.14,2.0,Healthcare,319450906624,133.05833,6.0,0.09724,166.226,7.33 %,60.0 %,701.98,827.27,974.58,Monitor weekly; re-evaluate on next earnings or macro event
ANURAS,STRONG SELL,-5,1223.3,26.07,-2.2531,1262.49,1290.99,1223.3,1152.08,1258.91,2.0,Basic Materials,138712793088,79.065544,15.41,0.05763,41.317,30.94 %,25.0 %,1086.51,1251.86,1441.92,Short-to-Medium Term (2–8 weeks)
SBC,HOLD,1,42.09,49.12,-0.2067,42.11,40.04,42.09,40.32,42.98,1.99,Industrials,20019027968,79.32076,0.53,0.37219003,283.225,-11.92 %,0.0 %,36.67,43.82,52.35,Monitor weekly; re-evaluate on next earnings or macro event
MBAPL,BUY,4,163.95,81.39,2.7127,131.36,118.71,163.95,191.25,150.3,2.0,Basic Materials,70627311616,46.99708,3.43,N/A,156.708,35.81 %,80.0 %,142.29,175.24,215.73,Medium-to-Long Term (1–6 months)
NEULANDLAB,HOLD,0,18994.0,51.31,-108.3202,18884.4,17835.04,18994.0,17190.58,19895.71,2.0,Healthcare,242112839680,66.67962,283.01,N/A,16.072,32.37 %,66.7 %,15249.94,19802.7,25699.83,Monitor weekly; re-evaluate on next earnings or macro event
ADVANCE,SELL,-2,113.6,52.16,-0.3298,111.6,106.27,113.6,98.87,120.96,2.0,Basic Materials,7596643328,18.18,6.5,0.17179,31.588,-27.6 %,0.0 %,85.89,113.52,149.95,Exit / Avoid new positions
KERNEX,BUY,3,2321.2,57.64,-6.3679,2204.72,1966.58,2321.2,2659.96,2151.82,2.0,Technology,38352584704,43.317516,52.69,0.43605998,65.52,67.95 %,66.7 %,1843.11,2507.95,3410.29,Medium-to-Long Term (1–6 months)
KISSHT,HOLD,-1,342.25,65.89,0.9033,319.01,288.16,342.25,299.05,363.85,2.0,Financial Services,57755979776,35.895287,9.55,0.23966,180.902,N/A,N/A,318.05,442.02,613.85,Monitor weekly; re-evaluate on next earnings or macro event
JUSTDIAL,BUY,3,718.7,71.81,1.6735,657.49,582.47,718.7,866.72,644.69,2.0,Communication Services,61941207040,12.298209,59.22,N/A,1.655,-18.63 %,0.0 %,560.29,690.21,849.87,Medium-to-Long Term (1–6 months)
SUDEEPPHRM,SELL,-2,858.1,59.86,-4.2686,842.02,793.14,858.1,750.88,911.71,2.0,Healthcare,97339121664,55.492596,15.53,0.25056,16.749,-10.97 %,0.0 %,685.32,868.54,1100.16,Exit / Avoid new positions
GOLDIAM,BUY,3,355.75,56.7,-0.9385,346.78,334.92,355.75,417.88,324.69,2.0,Consumer Cyclical,54004842496,31.603525,11.35,0.1838,6.931,-46.3 %,0.0 %,266.35,372.5,520.57,Medium-to-Long Term (1–6 months)
DALBHARAT,HOLD,0,1826.5,55.26,4.2859,1789.82,1748.39,1826.5,1663.0,1908.25,2.0,Basic Materials,340014399488,36.32571,49.86,N/A,40.987,-19.55 %,16.7 %,1583.86,1818.86,2088.08,Monitor weekly; re-evaluate on next earnings or macro event
BBOX,SELL,-2,775.7,10.38,-13.9732,886.64,954.53,775.7,667.58,829.76,2.0,Technology,130082537472,57.946995,12.64,0.21267,89.594,80.81 %,66.7 %,621.95,793.68,1012.28,Exit / Avoid new positions
SHREEJISPG,HOLD,0,631.25,81.31,4.3658,565.13,507.25,631.25,572.15,660.8,2.0,Industrials,100333207552,63.35905,9.72,0.2987,36.166,25.16 %,100.0 %,564.27,706.64,884.49,Monitor weekly; re-evaluate on next earnings or macro event
SIGNATURE,STRONG SELL,-9,790.8,51.6,-2.5732,791.74,796.34,790.8,676.38,848.01,2.0,Real Estate,112591028224,10.285311,77.81,0.84882003,161.04,-34.21 %,20.0 %,632.14,756.77,905.63,Short-to-Medium Term (2–8 weeks)
CAPLIPOINT,HOLD,0,2621.4,53.8,-26.8733,2585.6,2369.81,2621.4,2319.24,2772.48,2.0,Healthcare,196741070848,30.75817,84.15,0.19939,0.127,-15.07 %,25.0 %,2157.84,2688.34,3347.64,Monitor weekly; re-evaluate on next earnings or macro event
ANTHEM,STRONG BUY,5,790.55,60.15,2.6188,767.87,768.92,790.55,856.58,757.53,2.0,Healthcare,440327503872,77.46048,10.12,N/A,1.772,0.83 %,50.0 %,676.64,794.38,932.27,Short-to-Medium Term (2–8 weeks)
SUDARSCHEM,BUY,2,1056.35,72.48,1.9409,990.3,942.86,1056.35,1182.77,993.14,2.0,Basic Materials,82182881280,362.2281,2.85,0.0103400005,64.172,14.4 %,25.0 %,847.65,1059.12,1322.69,Medium-to-Long Term (1–6 months)
INOXINDIA,BUY,2,1985.9,62.25,-5.128,1950.17,1790.15,1985.9,2280.17,1838.77,2.0,Industrials,172096684032,66.764084,28.4,0.25901,7.251,-3.59 %,33.3 %,1700.16,2027.14,2416.07,Medium-to-Long Term (1–6 months)
MEDPLUS,STRONG SELL,-6,716.9,22.92,-9.3377,792.73,839.79,716.9,635.93,757.38,2.0,Healthcare,84138115072,40.060036,17.49,N/A,72.133,-0.38 %,50.0 %,606.7,715.83,844.28,Short-to-Medium Term (2–8 weeks)
RPOWER,STRONG SELL,-8,23.76,34.77,-0.0373,24.79,25.93,23.76,21.57,24.86,1.99,Utilities,97025179648,N/A,-0.82,-0.0208,92.348,-32.15 %,20.0 %,17.38,23.18,30.9,Short-to-Medium Term (2–8 weeks)
SCHAEFFLER,BUY,3,4185.5,58.24,1.8107,4132.3,4118.62,4185.5,4488.11,4034.2,2.0,Consumer Cyclical,647816151040,51.742825,80.1,0.21645,0.783,-13.22 %,25.0 %,3559.49,4168.53,4880.08,Medium-to-Long Term (1–6 months)
EASEMYTRIP,SELL,-4,6.82,36.54,0.0177,6.92,7.36,6.82,6.25,7.11,1.97,Consumer Cyclical,23966863360,N/A,-0.11,-0.061139997,4.35,-45.27 %,16.7 %,4.84,6.32,8.26,Exit / Avoid new positions
AIIL,BUY,3,551.7,58.63,1.4162,527.43,513.12,551.7,624.9,515.1,2.0,Financial Services,473613041664,29.137932,19.14,N/A,24.59,40.81 %,50.0 %,443.0,580.88,761.23,Medium-to-Long Term (1–6 months)
RPTECH,HOLD,1,801.45,62.46,-5.2951,767.42,672.46,801.45,700.2,852.08,2.0,Technology,51751006208,19.065308,41.19,0.14938,48.65,-3.0 %,40.0 %,671.56,829.27,1023.54,Monitor weekly; re-evaluate on next earnings or macro event
VINCOFE,HOLD,-1,162.87,52.14,-0.4356,158.34,152.98,162.87,144.39,172.11,2.0,Consumer Defensive,23895814144,33.002014,4.97,0.16555001,21.719,19.02 %,20.0 %,131.01,163.5,203.97,Monitor weekly; re-evaluate on next earnings or macro event
BEPL,BUY,3,114.51,63.46,0.9262,108.52,102.1,114.51,138.09,102.72,2.0,Basic Materials,28223039488,14.105721,8.04,N/A,N/A,-3.87 %,33.3 %,91.51,111.87,136.69,Medium-to-Long Term (1–6 months)
SETFGOLD,HOLD,1,122.35,50.12,0.485,121.31,125.65,122.35,114.85,126.1,2.0,Unknown,N/A,N/A,N/A,N/A,N/A,66.13 %,66.7 %,111.74,127.19,144.73,Monitor weekly; re-evaluate on next earnings or macro event
GRWRHITECH,BUY,2,7160.0,58.04,-37.6239,6926.98,6447.5,7160.0,7859.33,6810.34,2.0,Basic Materials,165426266112,48.988647,145.35,0.13454,0.59,-44.1 %,40.0 %,5466.88,7568.31,10470.0,Medium-to-Long Term (1–6 months)
MARINE,HOLD,-1,269.95,60.03,-0.2494,261.71,255.4,269.95,235.15,287.35,2.0,Industrials,35753283584,64.01425,4.21,0.12887,17.661,-18.37 %,0.0 %,206.0,270.0,353.69,Monitor weekly; re-evaluate on next earnings or macro event
KAJARIACER,SELL,-2,1220.0,53.71,-5.6155,1220.41,1155.97,1220.0,1130.75,1264.62,2.0,Industrials,190001659904,39.487263,30.62,0.16499001,7.302,1.64 %,50.0 %,1028.95,1201.63,1402.81,Exit / Avoid new positions
TARIL,STRONG SELL,-6,302.5,34.56,-5.4288,330.88,325.05,302.5,263.35,322.07,2.0,Industrials,88729018368,34.292343,8.62,N/A,29.595,-22.91 %,28.6 %,219.63,295.96,398.57,Short-to-Medium Term (2–8 weeks)
GLAXO,HOLD,1,2551.2,67.95,3.8551,2462.81,2340.03,2551.2,2362.8,2645.4,2.0,Healthcare,445978345472,42.995266,61.23,0.49113,1.467,0.58 %,33.3 %,2116.4,2527.54,3017.37,Monitor weekly; re-evaluate on next earnings or macro event
AXISCADES,SELL,-3,1533.4,49.32,6.4424,1597.58,1764.84,1533.4,1339.39,1630.41,2.0,Industrials,63425933312,88.39359,16.87,0.10366999,52.834,93.56 %,75.0 %,1225.86,1616.28,2129.73,Exit / Avoid new positions
VIMTALABS,HOLD,-1,587.15,56.89,-0.4229,568.25,538.11,587.15,489.68,635.88,2.0,Healthcare,26899281920,33.72269,17.85,N/A,0.729,36.79 %,80.0 %,447.54,609.89,830.57,Monitor weekly; re-evaluate on next earnings or macro event
CHOICEIN,SELL,-2,800.0,57.29,-5.1972,800.57,732.36,800.0,738.29,830.86,2.0,Financial Services,177452613632,71.12054,11.2,0.16240999,49.768,71.98 %,50.0 %,706.2,831.47,978.61,Exit / Avoid new positions
SHILPAMED,BUY,3,620.6,56.29,-5.1209,614.39,564.66,620.6,688.34,586.73,2.0,Healthcare,118366126080,48.767124,12.41,0.09822,25.465,10.37 %,66.7 %,510.41,639.87,801.76,Medium-to-Long Term (1–6 months)
SKYGOLD,BUY,4,671.65,77.73,2.5732,611.39,548.74,671.65,764.05,625.45,2.0,Consumer Cyclical,103533191168,36.99502,18.07,0.29828,72.072,-5.17 %,25.0 %,547.39,712.28,926.29,Medium-to-Long Term (1–6 months)
SARDAEN,SELL,-4,512.3,63.58,2.6199,499.73,517.09,512.3,478.19,529.35,2.0,Basic Materials,179784925184,16.248407,31.4,0.15999,35.204,-6.49 %,33.3 %,423.2,528.13,658.77,Exit / Avoid new positions
CONFIPET,STRONG BUY,5,81.04,69.24,0.2924,74.84,71.38,81.04,93.22,74.95,2.0,Energy,25745358848,27.675,2.8,0.06458,49.394,9.72 %,100.0 %,61.14,80.04,104.71,Short-to-Medium Term (2–8 weeks)
CERA,HOLD,-1,6205.5,41.23,-33.3419,6251.1,6068.92,6205.5,5739.63,6438.44,2.0,Industrials,80767680512,39.58228,158.24,0.14467,3.172,-3.83 %,50.0 %,5118.17,6037.95,7120.44,Monitor weekly; re-evaluate on next earnings or macro event
SWANCORP,STRONG SELL,-7,312.2,29.42,-0.5321,315.33,316.99,312.2,288.62,323.99,2.0,Industrials,96858177536,35.722546,8.65,0.029949998,24.515,-34.47 %,14.3 %,231.32,294.45,374.61,Short-to-Medium Term (2–8 weeks)
MSUMI,HOLD,0,41.74,53.32,0.0265,40.45,39.33,41.74,38.62,43.3,2.0,Consumer Cyclical,275346620416,44.17021,0.94,0.32394,10.788,-11.87 %,40.0 %,35.5,41.1,47.58,Monitor weekly; re-evaluate on next earnings or macro event
ENGINERSIN,SELL,-2,226.42,29.93,-0.9983,233.11,236.44,226.42,208.45,235.4,2.0,Industrials,125105004544,18.111473,12.29,0.23786,0.534,-28.05 %,14.3 %,178.36,222.94,278.52,Exit / Avoid new positions
EMIL,HOLD,-1,125.67,36.72,-1.2048,131.26,121.07,125.67,110.46,133.28,2.0,Consumer Cyclical,48840007680,45.661873,2.78,0.06787,122.806,-37.56 %,20.0 %,95.23,120.53,152.46,Monitor weekly; re-evaluate on next earnings or macro event
KSHINTL,SELL,-4,885.1,65.16,-1.2414,863.58,829.01,885.1,760.21,947.55,2.0,Industrials,57189195776,45.847366,18.41,0.19903,39.74,N/A,N/A,788.08,1057.62,1418.43,Exit / Avoid new positions
ZFCVINDIA,STRONG SELL,-7,2299.1,41.86,-3.3693,2374.67,2446.6,2299.1,2028.2,2434.55,2.0,Consumer Cyclical,270504296448,2.6440847,898.95,N/A,N/A,-18.54 %,33.3 %,1911.76,2268.86,2691.65,Short-to-Medium Term (2–8 weeks)
AJANTPHARM,HOLD,1,3386.1,55.51,-13.298,3396.01,3210.5,3386.1,3077.67,3540.32,2.0,Healthcare,417584807936,39.484936,84.65,0.25393,5.747,-15.05 %,20.0 %,2899.75,3439.0,4076.99,Monitor weekly; re-evaluate on next earnings or macro event
LLOYDSENT,HOLD,1,81.64,62.68,-0.0008,77.32,73.55,81.64,70.6,87.16,2.0,Basic Materials,122032562176,44.910114,1.78,0.097440004,14.694,16.01 %,66.7 %,61.89,83.27,111.95,Monitor weekly; re-evaluate on next earnings or macro event
KRISHNADEF,BUY,3,1295.9,53.65,-2.6052,1283.03,1237.89,1295.9,1451.12,1218.29,2.0,Industrials,18029080576,43.133263,27.99,0.25428,1.121,-8.99 %,20.0 %,994.3,1323.44,1760.42,Medium-to-Long Term (1–6 months)
TRITURBINE,SELL,-4,623.4,45.09,-0.3648,630.13,662.25,623.4,563.34,653.43,2.0,Industrials,193709293568,55.546944,10.97,0.26217,2.476,-12.16 %,28.6 %,489.37,620.2,785.59,Exit / Avoid new positions
SMLMAH,STRONG SELL,-6,3903.8,53.07,-28.6794,4007.65,3928.63,3903.8,3392.06,4159.67,2.0,Consumer Cyclical,55064612864,35.18587,108.14,N/A,55.669,145.89 %,100.0 %,3050.32,4020.48,5295.97,Short-to-Medium Term (2–8 weeks)
NCC,STRONG SELL,-8,142.14,37.5,-0.2349,143.54,147.75,142.14,131.91,147.25,2.0,Industrials,86454476800,12.797398,10.76,0.093219995,57.389,-16.52 %,25.0 %,111.35,134.12,161.47,Short-to-Medium Term (2–8 weeks)
AETHER,BUY,2,1480.1,67.0,-8.8948,1427.99,1265.63,1480.1,1652.87,1393.71,2.0,Basic Materials,194384101376,88.34137,16.58,0.09375,18.646,-2.28 %,33.3 %,1254.1,1515.99,1831.79,Medium-to-Long Term (1–6 months)
OLECTRA,SELL,-4,1328.1,30.13,-14.2294,1403.68,1353.51,1328.1,1214.58,1384.86,2.0,Industrials,107747377152,60.632793,21.65,N/A,30.841,-8.53 %,33.3 %,1026.12,1299.34,1644.45,Exit / Avoid new positions
MARKSANS,HOLD,1,263.4,51.26,-3.1561,264.5,252.77,263.4,227.7,281.25,2.0,Healthcare,116304470016,27.836224,9.22,0.15159,11.248,-15.06 %,16.7 %,207.66,265.79,340.01,Monitor weekly; re-evaluate on next earnings or macro event
NRBBEARING,BUY,4,419.25,41.63,-3.3963,418.45,408.42,419.25,468.18,394.79,2.0,Consumer Cyclical,40978874368,28.722824,14.72,0.15174,15.653,-6.96 %,25.0 %,346.9,423.02,515.61,Medium-to-Long Term (1–6 months)
SCHNEIDER,BUY,2,1352.0,31.47,-11.5205,1391.99,1316.06,1352.0,1523.48,1266.26,2.0,Industrials,318653923328,149.40582,8.92,0.31813,70.795,37.64 %,60.0 %,1090.26,1386.51,1762.31,Medium-to-Long Term (1–6 months)
MEDANTA,BUY,2,1407.2,67.72,2.8514,1341.19,1282.43,1407.2,1509.23,1356.18,2.0,Healthcare,376555732992,67.72837,20.69,0.15032,29.869,2.51 %,25.0 %,1198.74,1412.2,1663.07,Medium-to-Long Term (1–6 months)
JAINREC,SELL,-4,338.45,44.02,1.7718,341.92,356.52,338.45,297.98,358.69,2.0,Basic Materials,116621754368,32.526466,10.39,0.28672,81.887,-26.29 %,33.3 %,253.13,339.86,456.01,Exit / Avoid new positions
ANANDRATHI,HOLD,1,2052.1,50.02,-14.3566,2063.61,1908.98,2052.1,1897.27,2129.51,2.0,Financial Services,338375507968,74.10545,27.5,N/A,8.25,50.53 %,60.0 %,1846.17,2144.04,2489.15,Monitor weekly; re-evaluate on next earnings or macro event
